PM2.5,co2,no2,so2,o3
47,4308,73,225,15
4,4167,68,198,157
3,6570,263,174,225
39,2469,59,382,78
10,4619,281,332,92
45,5773,182,308,13
40,2036,245,14,132
14,1272,171,175,230
6,2783,268,366,198
30,2056,295,36,54
47,1730,272,250,195
44,5751,90,393,228
10,4252,90,345,107
10,1147,246,274,135
40,6520,206,62,27
45,1546,7,76,64
5,3752,27,278,147
36,1274,205,286,151
33,1085,168,21,21
9,3795,276,221,79
4,2582,81,183,116
41,6673,232,54,185
21,4817,186,371,84
23,6397,122,295,39
23,1926,14,196,143
17,4177,169,229,132
35,3125,238,97,14
18,4647,264,19,154
10,5094,71,273,180
10,6544,230,107,163
34,1985,168,370,32
39,6527,108,46,85
48,5097,179,265,49
21,3747,5,159,65
12,3709,244,24,115
10,652,138,135,197
19,2112,143,18,210
48,2287,92,104,169
7,6712,71,14,59
43,2635,90,74,177
11,1517,19,256,240
16,3804,249,300,241
6,5408,242,242,106
28,1485,102,346,73
44,596,53,239,240
13,3664,259,72,15
23,4190,150,188,122
41,2137,106,378,126
47,842,279,305,31
31,5902,280,115,170
34,3768,58,363,173
39,1467,287,222,107
14,6643,214,100,130
42,1721,158,245,155
45,4851,267,325,163
42,696,141,166,78
47,2556,218,94,178
19,5562,125,242,43
14,6716,64,194,138
21,2316,83,366,203
21,2140,244,332,94
11,2635,192,301,14
37,4428,79,65,29
23,4264,217,51,54
43,4426,12,359,22
30,2940,289,5,44
40,1258,141,386,54
39,3961,145,136,38
37,4764,118,203,17
29,6730,235,348,204
22,937,106,212,175
13,2140,22,272,17
46,2392,181,26,109
17,4704,121,217,209
7,5961,98,80,215
38,3444,127,289,131
29,6077,141,381,170
42,5312,15,60,197
38,5270,300,163,178
12,3902,201,282,26
48,1788,109,149,82
41,1750,120,120,35
32,3926,157,191,224
17,3146,277,7,246
8,4209,257,60,160
41,5287,145,262,163
5,2384,180,104,183
4,6862,26,218,60
15,3879,50,11,104
5,5196,237,372,191
10,4450,5,284,169
31,4227,46,12,154
13,205,290,22,29
18,1353,186,99,83
25,4014,27,368,126
45,1588,19,146,200
48,2105,258,159,163
19,295,114,34,98
35,623,223,70,173
30,737,209,379,183
8,4187,249,363,125
39,5066,236,125,205
23,6758,252,5,41
39,553,169,117,58
45,4163,269,316,232
14,5111,43,394,184
19,2373,181,382,231
11,2147,114,1,244
9,2220,176,46,79
15,5880,245,120,171
21,3610,229,366,67
8,303,148,287,116
45,3267,43,367,240
38,6497,223,245,124
45,6980,254,283,100
4,4095,191,361,196
11,3454,170,33,46
48,1904,276,350,81
3,5642,298,41,26
5,4628,37,279,85
15,5504,143,210,123
29,1235,70,199,27
45,6762,299,11,140
13,499,20,292,160
30,1515,71,86,116
9,2801,133,317,200
28,2470,264,121,152
30,750,189,212,166
25,3172,91,383,145
22,2033,249,215,79
9,1795,10,121,53
24,2170,86,45,228
26,4000,127,183,120
21,1231,193,73,69
16,4864,30,227,146
18,4473,81,57,189
42,4218,92,95,111
32,545,229,271,31
45,876,198,183,178
28,5556,215,153,69
39,1273,155,111,182
26,1215,238,328,138
12,4219,148,337,189
28,2621,43,52,139
31,4055,42,134,174
46,2475,220,66,34
46,3675,49,60,70
28,6626,119,380,89
36,3997,236,154,62
33,2371,218,23,146
12,1008,128,166,212
16,1645,232,338,53
6,1423,229,311,72
45,3763,170,272,86
42,5880,219,295,182
30,2511,76,321,123
29,3317,273,358,79
16,4384,90,228,229
45,6891,199,7,41
16,2120,199,399,114
34,5279,196,144,211
12,6893,25,129,118
11,2039,230,79,89
25,1220,185,314,81
37,468,137,190,103
11,2475,11,96,111
20,2325,25,180,219
26,4504,266,137,172
4,1895,158,174,24
39,4095,245,5,130
44,4880,177,63,180
28,6733,34,285,199
34,869,158,147,103
14,2953,42,45,158
7,3483,112,199,218
42,4015,126,22,154
5,3947,270,322,154
42,1009,44,368,211
35,1809,271,279,151
29,5096,214,335,146
45,5625,7,183,245
48,6772,12,15,81
7,2539,247,263,139
32,1878,55,83,149
25,2441,281,196,131
23,5423,132,183,27
35,674,275,1,67
22,5935,107,354,149
21,5681,166,369,159
32,2022,57,370,173
47,2172,64,95,46
11,3909,292,27,141
32,1143,78,306,245
14,481,48,53,50
30,4840,191,131,186
28,4366,33,86,124
13,5321,7,384,137
10,5800,192,229,122
48,5131,235,337,190
20,6997,166,15,201
26,2894,73,327,166
9,1258,243,246,13
46,2816,12,42,166
29,4522,138,141,197
43,4206,33,111,14
43,2417,283,273,30
44,5659,205,349,158
28,717,140,286,214
27,6247,81,201,186
34,2870,109,265,125
7,1489,260,45,231
29,228,28,243,99
34,1232,249,182,146
27,3024,284,373,221
37,1146,136,375,202
37,5647,30,253,83
33,5321,163,37,77
41,3157,103,216,86
27,5515,245,111,63
21,2268,233,172,112
35,1076,58,247,40
14,3397,107,385,233
22,2214,111,198,149
16,6004,261,261,62
36,5711,229,6,240
44,2111,16,291,13
31,682,254,195,78
20,1791,37,242,175
19,6991,243,285,61
4,4522,197,35,116
17,2833,197,36,189
42,2402,215,18,13
3,3635,141,376,144
43,5644,201,136,39
47,1472,59,345,236
28,4124,94,377,235
38,4635,217,369,71
41,3088,63,136,174
40,6995,116,345,97
44,968,112,28,216
12,5450,52,159,13
14,6063,178,246,120
42,6621,279,27,70
25,1773,44,400,55
10,1877,149,376,86
9,861,240,400,50
15,2726,117,118,33
8,6111,161,96,57
8,2833,15,18,155
6,3293,167,335,136
33,4333,219,371,69
34,1567,103,92,152
47,647,100,334,94
36,6665,187,185,110
32,6999,101,189,208
22,4109,130,169,213
38,596,170,397,210
22,1236,35,91,182
24,3958,25,54,15
41,4705,76,12,19
40,2887,283,269,162
25,5301,22,289,246
12,632,114,48,223
46,4155,293,372,85
10,1832,132,221,113
33,4807,290,157,80
22,5788,225,342,149
17,4350,11,357,144
26,688,269,94,190
24,6730,55,88,186
26,5455,8,23,92
39,4107,293,219,106
3,5499,28,109,96
36,3841,276,354,228
9,1906,66,54,246
11,6754,178,58,83
37,4262,115,47,32
35,3887,116,312,26
27,4894,7,399,240
33,4887,279,192,210
9,856,229,266,158
9,6732,179,28,235
24,849,181,280,32
23,6194,70,208,11
17,5372,234,317,100
9,6023,274,258,15
23,2015,78,285,15
15,2950,274,316,42
24,4856,43,56,104
14,1164,69,237,10
39,6578,181,157,130
7,3854,249,329,17
48,3914,8,366,224
12,5766,78,245,40
29,2201,37,376,207
43,3760,201,123,198
12,4544,24,228,225
39,1565,128,283,52
23,3857,283,1,182
35,5464,203,388,210
43,5973,259,191,112
36,2484,274,289,44
37,3535,256,393,128
47,5829,136,336,128
41,4437,237,312,214
29,4704,251,51,213
13,2511,129,399,41
19,2650,136,144,201
25,1848,160,134,215
9,1747,243,233,41
31,2716,225,120,48
12,2634,214,378,175
24,291,259,92,226
28,6523,32,393,174
44,4752,100,115,167
37,4893,183,95,213
13,5946,158,181,71
33,1102,271,61,177
31,3742,159,70,249
26,869,71,113,19
45,3076,208,175,157
44,4151,154,95,200
38,1548,113,261,167
41,5379,85,122,42
38,5024,103,83,97
8,3981,200,197,127
32,4340,146,48,75
27,5452,285,359,39
6,483,122,334,242
44,5308,287,235,167
10,3724,120,10,216
24,4228,173,274,123
46,1893,127,78,233
11,6133,238,348,210
24,4855,109,146,74
13,514,246,338,37
45,435,202,370,147
44,2419,40,13,70
12,2117,150,175,163
21,4356,52,314,49
42,4211,89,15,205
11,3915,163,328,99
5,1185,200,293,19
36,1836,283,111,73
25,6177,277,145,165
6,1600,285,356,33
26,5721,97,320,95
20,588,141,63,228
10,3369,97,38,13
22,3511,170,184,170
26,2708,233,159,215
5,4225,187,111,243
3,1472,241,206,174
42,626,115,229,135
27,6761,211,105,66
16,6873,10,385,227
14,2132,69,95,39
29,5245,82,214,198
34,3368,245,131,228
9,1633,84,384,135
3,2805,49,60,71
38,5129,169,372,135
11,5656,240,387,147
17,6402,174,294,73
21,2937,213,209,20
41,1135,5,121,44
14,1798,185,337,174
21,693,174,215,67
47,4010,36,6,154
19,4345,207,84,42
16,2681,43,203,206
12,5371,98,227,195
25,4562,33,154,191
12,3334,246,250,149
43,5714,166,257,171
41,3876,294,389,197
37,5735,22,312,44
28,3189,87,384,69
15,6785,53,245,172
34,5429,93,32,23
10,593,231,335,239
21,3279,95,116,133
10,1355,226,345,99
22,1161,225,356,134
28,1595,236,285,26
25,1564,127,372,210
6,4483,300,244,110
15,3991,291,97,68
35,6859,280,203,17
6,6856,279,167,113
7,1747,270,6,215
35,4358,237,201,163
36,289,9,44,180
33,5810,283,157,33
24,4165,289,378,191
7,3969,14,246,145
43,2666,253,142,249
27,821,210,347,32
8,5508,92,302,200
37,2132,166,76,118
5,5725,19,87,76
5,684,275,343,93
11,366,299,375,189
36,4055,171,71,107
7,1865,181,165,23
26,1108,159,9,176
25,5273,223,82,44
21,2585,55,76,41
46,5932,249,321,199
4,1815,212,333,72
30,4734,111,28,129
29,1817,24,289,250
42,1485,86,267,244
44,4833,243,47,147
48,1731,13,261,207
25,616,64,145,108
5,6187,164,168,43
47,3521,238,394,139
18,4781,293,277,95
4,4332,180,306,55
29,755,100,4,62
16,1211,77,164,83
45,6106,216,114,248
40,3756,285,330,115
9,3751,122,132,165
45,5750,289,168,17
23,3002,201,299,250
7,1605,130,337,84
13,764,172,16,233
8,4366,12,247,36
31,1466,256,356,169
44,3387,126,333,20
29,4299,10,275,50
16,3944,11,85,132
39,4067,82,46,238
5,1593,39,15,49
41,2837,75,243,169
27,5575,267,278,147
40,5697,173,224,247
15,294,55,115,123
9,5493,57,49,37
34,4717,291,360,12
26,5885,146,296,205
6,1007,211,24,41
11,5128,261,211,19
7,3845,139,42,114
34,5839,50,171,85
3,2563,33,172,116
22,5394,233,45,75
19,2311,247,178,223
12,679,104,248,246
11,2241,147,356,59
11,5371,294,35,148
34,5874,11,262,166
29,371,164,256,168
11,2952,300,374,131
42,888,155,209,78
6,6692,184,204,66
18,5813,19,42,28
12,1404,65,110,105
29,4528,18,208,117
30,3144,89,120,51
48,3860,155,158,243
20,3277,220,400,48
6,5063,296,188,146
42,1537,22,373,205
18,4569,163,43,234
12,5121,210,158,37
28,6016,121,214,212
11,837,113,295,227
28,4523,46,180,186
3,6860,295,129,242
16,3062,130,67,200
5,6099,33,264,163
26,4227,105,58,93
30,6974,129,137,69
16,5023,169,168,188
37,4729,104,233,33
8,2478,86,51,43
42,6701,94,116,54
40,5026,155,383,196
16,4138,257,118,246
9,6723,296,135,100
3,4629,219,99,177
36,5321,56,5,154
32,2805,131,22,74
28,5344,289,43,241
5,6461,199,94,111
37,4164,68,106,11
24,4363,260,249,71
31,1923,271,96,192
3,5534,69,288,159
12,4096,296,386,77
16,5232,6,94,211
32,2368,23,177,25
13,4622,271,104,138
27,2052,193,336,226
4,1452,243,335,118
5,3459,163,16,205
5,2855,110,140,20
37,4596,163,220,188
31,2254,282,161,95
36,4083,85,119,12
40,3144,283,166,221
7,3866,109,78,105
25,3454,24,219,166
16,4642,288,150,192
36,2227,279,85,219
17,427,186,256,213
48,5793,52,259,132
15,2582,98,8,74
40,3213,247,63,21
32,6392,247,301,35
11,1580,253,236,194
28,2625,165,139,52
18,3077,259,129,57
25,5262,135,269,87
11,1434,189,273,192
30,5256,221,50,33
3,2783,75,379,207
22,4539,81,114,101
46,1894,154,264,34
10,335,200,166,122
25,2010,161,217,182
26,6029,147,32,116
46,3543,215,112,90
23,1881,132,315,90
11,1270,296,78,192
44,1977,53,315,230
47,5135,56,210,110
35,6650,75,174,88
24,648,270,282,73
17,6625,284,305,96
23,6258,119,65,229
7,217,53,94,32
30,3006,228,342,87
36,2530,272,149,201
42,719,290,3,158
21,4870,50,204,152
31,6862,295,297,96
37,5402,296,381,166
6,1112,45,367,196
29,4989,281,118,167
9,2219,162,105,67
12,1627,128,99,224
8,1603,161,218,124
7,1496,92,257,72
30,3437,28,6,119
46,2675,190,2,38
41,6672,244,192,22
26,4092,228,90,97
20,4613,135,356,205
22,2009,216,389,169
17,4591,148,369,35
44,1925,37,304,47
14,3225,199,112,101
20,4483,245,8,194
19,6512,154,118,64
5,5555,257,58,26
23,3889,238,1,122
9,3529,230,93,171
4,609,166,247,32
14,2413,21,360,63
20,6096,164,42,171
46,4009,270,268,29
16,5631,293,241,217
16,726,86,241,11
17,4400,115,10,201
32,251,200,267,18
34,890,219,110,132
48,1210,209,257,16
27,6159,90,137,213
7,825,29,298,220
19,2300,13,280,169
19,3224,264,217,35
48,3315,40,165,144
34,562,102,347,161
4,823,39,147,68
30,1809,75,135,127
19,755,167,394,148
21,428,205,325,43
12,6339,289,320,169
22,5385,259,49,201
29,3468,277,121,228
45,3262,286,59,37
30,5025,239,77,194
27,2436,154,360,150
46,6148,174,124,89
19,1353,225,13,43
11,2608,251,43,135
27,5379,17,141,24
40,654,50,225,124
20,804,125,360,29
4,2460,133,137,94
4,1875,70,215,154
21,4244,107,346,229
35,4968,120,337,140
41,5733,12,105,48
12,5956,290,48,94
5,4623,182,147,13
14,288,94,215,166
30,2412,299,290,190
19,1524,67,272,165
36,5652,179,380,48
16,662,196,218,113
21,4482,140,204,212
7,6091,200,208,223
21,3271,126,79,73
6,1837,255,54,80
22,1177,290,40,64
3,2183,130,23,174
29,4239,195,94,150
39,3258,112,56,162
19,5663,86,297,53
33,2544,135,130,208
12,3929,240,3,37
26,5133,253,351,97
35,2493,192,50,57
41,4711,153,321,243
3,1189,217,229,198
11,2598,171,28,91
17,3422,82,36,88
17,4529,176,267,101
10,4082,196,255,105
41,1895,174,25,59
39,3554,213,186,109
30,568,121,210,48
21,3169,58,295,12
21,483,10,64,151
5,6080,139,179,43
23,1660,148,204,37
4,6462,220,272,196
18,1658,277,371,201
32,6924,261,194,185
40,6595,48,123,244
39,2970,8,119,24
10,4076,254,350,23
40,6190,36,142,241
3,6675,45,59,217
32,5088,108,338,126
15,2546,145,82,121
42,495,149,246,231
12,3637,253,195,227
38,4831,241,292,212
38,6480,212,255,166
23,5742,196,394,148
25,5067,292,386,74
35,3182,231,106,16
4,5686,216,316,128
44,3224,98,119,217
15,3754,204,84,149
17,1535,276,44,24
42,1463,274,241,248
17,5516,46,125,52
33,6625,93,195,183
26,4679,153,115,12
42,2130,176,22,12
26,5912,250,212,200
33,1683,109,230,213
44,4200,296,18,225
5,276,5,148,175
35,500,129,162,207
37,1878,44,379,40
19,4873,66,319,84
17,1134,85,329,172
24,5904,200,204,216
18,5405,110,156,163
3,2057,70,107,203
43,4160,114,366,166
20,1949,168,205,163
17,5247,240,139,194
28,1930,36,229,177
43,4481,32,395,115
29,6700,80,241,51
18,6459,95,194,106
20,4344,100,175,163
31,2275,128,353,140
39,309,67,51,79
22,361,119,169,172
21,4806,9,100,31
46,882,221,119,120
29,2649,205,393,83
40,1663,141,384,157
34,1203,295,319,104
26,6362,251,382,118
41,2008,142,340,110
34,5786,274,146,62
21,4967,167,170,191
18,1867,72,26,150
36,3464,225,156,228
5,1855,214,385,81
7,1248,83,187,163
27,2558,27,355,21
14,3666,144,205,163
3,1015,193,45,206
41,4325,148,69,106
17,722,66,61,141
29,1854,147,224,182
28,2079,233,124,13
18,3871,88,341,51
7,2049,146,76,73
10,671,114,138,179
6,4471,43,32,220
11,2283,5,284,192
5,867,49,49,216
32,5624,138,312,123
21,3342,216,191,105
21,6876,47,332,202
15,1923,46,256,123
24,1828,43,341,35
43,5903,271,377,79
6,5535,163,2,207
32,5171,196,357,187
11,3876,262,87,91
38,1568,298,369,39
37,1582,273,329,93
48,1821,253,24,97
32,1704,123,136,194
20,6642,156,113,20
42,6108,210,84,135
17,2272,194,327,87
31,1836,66,324,49
46,6615,32,344,202
6,2962,73,323,26
27,5177,183,327,81
39,6878,278,218,240
29,4339,224,189,73
4,6777,46,141,169
20,774,100,96,153
15,618,173,152,85
7,3254,248,146,99
20,3836,291,214,186
22,5516,117,365,180
11,5191,239,203,223
24,2095,228,239,29
14,2898,91,157,91
37,4104,143,247,213
37,6642,130,171,145
46,5848,132,81,180
24,2269,84,163,242
33,4840,21,18,226
45,3049,166,382,76
29,6671,125,174,46
15,3234,140,275,147
16,6875,180,396,98
40,4904,96,281,110
34,984,72,355,187
14,2746,40,324,16
22,628,141,360,13
35,1088,7,322,226
38,1872,146,305,26
16,3930,55,332,172
19,2986,145,120,154
11,2290,84,146,117
7,5708,253,79,67
39,5227,137,271,74
9,2437,161,68,107
36,2568,166,390,98
30,3735,219,205,27
42,2329,280,131,182
25,3300,29,6,142
27,4209,299,54,184
20,3550,11,319,194
15,2931,165,41,112
18,1276,270,144,23
16,3133,164,245,195
13,6539,218,306,15
17,6655,105,226,181
8,1108,143,57,104
7,206,184,261,76
47,4353,159,217,172
38,5007,207,231,237
24,3661,157,2,186
11,1804,31,287,250
12,6083,236,158,208
31,4907,79,32,124
19,3473,114,109,242
35,5226,51,265,111
36,3971,194,376,29
27,2272,82,71,62
13,2885,292,74,15
35,1094,280,275,184
41,6664,55,120,61
20,3534,243,236,235
28,2919,285,397,218
31,1189,164,151,183
40,6344,44,155,68
30,1901,286,193,162
48,6282,214,94,246
21,3749,63,17,123
37,6652,264,225,136
12,2153,225,362,66
15,2836,174,313,214
37,3601,195,362,205
27,4826,162,152,113
13,3319,96,276,56
18,6483,140,86,18
23,2689,49,239,139
11,5277,66,278,16
4,3970,42,350,217
11,5902,158,378,223
38,2255,11,44,230
22,6707,189,161,170
22,2856,162,361,176
16,2713,173,345,175
18,495,81,362,197
30,6113,169,121,55
30,2046,183,364,56
46,1777,159,58,42
17,5555,125,105,84
20,5347,142,69,198
38,2444,297,153,210
21,1354,108,118,125
44,366,204,308,57
46,2519,70,196,115
35,3270,156,382,234
3,4483,213,131,145
27,5299,90,237,48
4,6741,110,333,132
26,6259,190,319,81
23,3060,185,146,243
21,603,104,23,21
46,6318,172,279,191
13,4017,274,215,183
21,5650,35,306,48
26,2188,187,224,23
32,6118,49,199,203
4,6157,53,261,16
19,6428,63,309,247
15,1265,128,225,89
16,4622,259,277,121
20,1534,178,70,247
43,562,191,204,85
45,5516,256,154,12
